カード種別	カード名	星	イベント名	選択肢1	結果1	選択肢2	結果2	選択肢3	結果3	選択肢4	結果4	選択肢5	結果5
育成ウマ娘	メジロマックイーン	星3	ご令嬢の風格	かっこいいな、と思って	スタミナ+10 パワー+10 ランダムで『練習上手』になる	隣に立つ努力をしないと、と思って	賢さ+20 ランダムで『練習上手』になる						
育成ウマ娘	メジロマックイーン	星3	掘り出し物	『3星レストランの秘蔵レシピ』かな	スピード+10	『ゴールドシップのサイン色紙』かな	根性+10						
育成ウマ娘	メジロマックイーン	星3	追加の自主トレ	なら、徹底的に追い込もう！	体力-5 直前のトレーニングに応じたステータス+5 秋川理事長の絆ゲージ+5	効率を考えれば許可できない	体力+5						
育成ウマ娘	メジロマックイーン	星3	ダンスレッスン	よかったら特訓付き合うよ	スタミナ+10	まず曲の理解から始めるのはどうだ？	賢さ+10						
育成ウマ娘	メジロマックイーン	星3	初詣	正月だしゆっくりしよう』	体力+30	いつも通りのトレーニングだ	全ステータス+5	福袋を買いに行こう！	スキルPt+35				
育成ウマ娘	メジロマックイーン	星3	新年の抱負	しっかり基礎体力を付けよう	スタミナ+10	まずは昼食を食べに行こう	体力+20	コースの研究をしよう	スキルPt+20				
育成ウマ娘	メジロマックイーン	星3	夏合宿（2年目）にて	体の強さから、とか……？	パワー+10	やっぱり根性じゃないか	根性+10						
育成ウマ娘	メジロマックイーン	星3	レース勝利！	やった、やったぞーっ！！	体力-15 パワー+5 スキルPt+32	更なる高みを目指そう！	体力-5 ランダムなステータス+5~8 スキルPt+32~38						
育成ウマ娘	メジロマックイーン	星3	レース入着	マックイーンなら上がっていける！	体力-20 根性+4 スキルPt+32 ランダムで『集中力』のヒントLv+1	もっと実力をつけよう	体力-30 根性+8 スキルPt+45						
育成ウマ娘	メジロマックイーン	星3	レース敗北	その悔しさを糧にしよう！	体力-15 スキルPt+10	だったら逃げ出す？	調査中						
育成ウマ娘	メジロマックイーン	星3	お大事に！	今日は休んだ方が良さそうだな	やる気ダウン スタミナ-5	これからは周りに注意しないとな	調査中						
育成ウマ娘	メジロマックイーン	星3	エキサイティングお嬢様	すごい叫び声だった！	根性+10	すごいタオル回しだった！	パワー+10						
育成ウマ娘	メジロマックイーン	星3	名指導	選択肢なし	スタミナ+10 ランダムで『練習上手◯』取得								
育成ウマ娘	メジロマックイーン	星3	責められるべきはトレーナー？	選択肢なし	賢さ+5								
育成ウマ娘	メジロマックイーン	星3	あの日からずっと	選択肢なし	スタミナ+5								
育成ウマ娘	メジロマックイーン	星3	ライアンとの戦い、始まる	選択肢なし	根性+5								
育成ウマ娘	メジロマックイーン	星3	『天皇賞』にかける想い	選択肢なし	スタミナ+5								
育成ウマ娘	メジロマックイーン	星3	目標達成の後に・邁進！	選択肢なし	5種ステータス3種を+3 スキルPt+20 秋川理事長の絆ゲージ+4								
育成ウマ娘	メジロマックイーン	星3	全然平気……です？	選択肢なし	やる気ダウン パワー-5								
育成ウマ娘	メジロマックイーン	星3	早朝に駆けろ	選択肢なし	体力-10 やる気ダウン								
育成ウマ娘	メジロマックイーン	星3	すべって、おちた……	選択肢なし	やる気ダウン								
育成ウマ娘	メジロマックイーン	星3	来襲！スペース野球ゾンビ	選択肢なし	体力+15 やる気ダウン 根性-5								
育成ウマ娘	メジロマックイーン	星3	メジロマックイーン登場！	選択肢なし	スキルPt+120								
育成ウマ娘	メジロマックイーン	星3	デビュー戦の後に	1位(出立、悠々と)	5種ステータスからランダムに3種を+3 スキルPt+30 秋川理事長の絆ゲージ+4	2位(栄光の楯へと)	5種ステータスからランダムに3種を+2 スキルPt+30 秋川理事長の絆ゲージ+4	(3位以下)栄光の楯へと	5種ステータスからランダムに3種を+1 スキルPt+30 秋川理事長の絆ゲージ+4				
育成ウマ娘	メジロマックイーン	星3	神戸新聞杯の後に	1位(勝負の予感)	5種ステータスからランダムに3種を+3 スキルPt+35 秋川理事長の絆ゲージ+4								
育成ウマ娘	メジロマックイーン	星3	菊花賞の後に	3位(恥じて叱って、進め)	5種ステータスからランダムに3種を+1 スキルPt+45 秋川理事長の絆ゲージ+4								
育成ウマ娘	メジロマックイーン	星3	天皇賞（秋）の後に	1位(未踏の栄光)	全ステータス+3 スキルPt+51								
育成ウマ娘	メジロマックイーン	星3	宝塚記念の後に	2位(覚悟を刻みて)	全ステータス+2 スキルPt+51								
育成ウマ娘	メジロマックイーン	星3	あんし〜ん笹針師、参☆上	強いウマ娘になれる秘孔を狙う	成功時:5種ステータス+20<hr>失敗時:やる気ダウン 全ステータス-15 『夜ふかし気味』になる	レースで勝てる秘孔を狙う	成功時:『コーナー回復◯』取得 『直線回復』取得<hr>失敗時:体力-20 やる気ダウン	元気で健康になれる秘孔を狙う	体力の最大値+12 体力+40	魅力アップの秘孔を狙う	成功時:体力+20 やる気アップ 『愛嬌◯』になる	不安なのでやめておく	調査中
育成ウマ娘	メジロマックイーン	星3	福引チャンス！	特賞(温泉旅行券)	体力+30 やる気アップ 5種ステータス+10	1等(特上にんじんハンバーグ)	体力+30 やる気アップ 5種ステータスを+10	2等(にんじん山盛り)	体力+20 やる気アップ 5種ステータスを+5	3等(にんじん1本)	体力+20	はずれ	やる気ダウン
育成ウマ娘	メジロマックイーン	星3	バレンタイン	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	メジロマックイーン	星3	ファンレター	選択肢なし	やる気アップ スキルPt+30								
育成ウマ娘	メジロマックイーン	星3	クリスマス	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	メジロマックイーン	星3	ファン感謝祭	選択肢なし	体力-5 スキルPt+25	選択肢なし	やる気アップ ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	メジロマックイーン	星3	夏合宿（2年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	メジロマックイーン	星3	夏合宿（3年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	メジロマックイーン	星3	『月刊トゥインクル増刊号』	選択肢なし	スキルPt+5	選択肢なし	5種ステータス+3 スキルPt+10	選択肢なし	5種ステータス+5 スキルPt+20				
育成ウマ娘	シンボリルドルフ	星3	皇帝の余暇	ジョークの特訓	賢さ+10 スキルPt+15	雨天のレース研究	『雨の日◯』のヒントLv+1						
育成ウマ娘	シンボリルドルフ	星3	笑う会長は服着たがる	ギャグが高度すぎるかも	賢さ+20	皆が驚きそう……	根性+20						
育成ウマ娘	シンボリルドルフ	星3	皇帝の日課	お弁当を見てみたい！	パワー+10	毎日作るのは大変そう	根性+10						
育成ウマ娘	シンボリルドルフ	星3	前を往く者	走ろう	スピード+5 パワー+5	語ろう	スタミナ+5 根性+5						
育成ウマ娘	シンボリルドルフ	星3	道の果て、遠く望む	君の夢を信じている	スタミナ+20 ランダムで『注目株』になる	今更そんなことを悩むのか	根性+20						
育成ウマ娘	シンボリルドルフ	星3	皇帝の道	なんとか誤魔化そう！	賢さ+10	正直に打ち明けよう	パワー+10						
育成ウマ娘	シンボリルドルフ	星3	皇帝の社会勉強	清掃ボランティア	体力-10 スタミナ+10 パワー+10	世界名ウマ娘特別展	賢さ+5 スキルPt+15						
育成ウマ娘	シンボリルドルフ	星3	竜吟虎嘯	ルドルフが楽しそうでなにより	スピード+10	最高の1日だった！	スタミナ+10						
育成ウマ娘	シンボリルドルフ	星3	徳高望重	お茶はまた今度だな	賢さ+10	何か手伝えるか？	パワー+10						
育成ウマ娘	シンボリルドルフ	星3	有言実行	丸1日集中した方がいい	体力-10 パワー+20 秋川理事長の絆ゲージ+10	効率的にいこう	体力+10						
育成ウマ娘	シンボリルドルフ	星3	清風明月	教えてもらえて嬉しい	スピード+10	可愛い名前だ	調査中	これから先も、ずっと覚えておく	調査中				
育成ウマ娘	シンボリルドルフ	星3	道半ば、顧みて	『経過報告』にすればいい	スピード+20	たまには叱られたところを見てみたいな～	パワー+20						
育成ウマ娘	シンボリルドルフ	星3	いついかなる時も	今日中に対応してあげよう	体力-10 根性+20 秋川理事長の絆ゲージ+10	何か手伝えるかな	体力+10						
育成ウマ娘	シンボリルドルフ	星3	突然の厚意	ルドルフに任せよう	体力-10 スタミナ+20 秋川理事長の絆ゲージ+10	手伝ってもらった方が早いかもよ	体力+10						
育成ウマ娘	シンボリルドルフ	星3	追加の自主トレ	それなら付き合うよ	体力-5 直前のトレーニングに応じたステータス+5 秋川理事長の絆ゲージ+5	小敵と見て侮るなかれ	体力+5						
育成ウマ娘	シンボリルドルフ	星3	ダンスレッスン	可愛い振り付け	賢さ+10	ブレイクダンス	パワー＋10						
育成ウマ娘	シンボリルドルフ	星3	新年の抱負	『賢良方正』常に最善の選択を	賢さ+10	『十全健康』心も体も大切に	体力+20	『武芸百般』多用な技を用いる	スキルPt+20				
育成ウマ娘	シンボリルドルフ	星3	夏合宿（2年目）にて	いっぱい食べてパワーをつけよう	パワー+10	たまにはトレーニングを我慢してみる	根性+10						
育成ウマ娘	シンボリルドルフ	星3	初詣	『医食同源』食事で健康に気を配る	体力+30	『全知全能』最強の”皇帝”になる	全ステータス+5	『風流韻事』洒落の技術を磨く	スキルPt+35				
育成ウマ娘	シンボリルドルフ	星3	レース入着	でも、まずはお疲れ様	体力-20 スピード+4 スキルPt+30	次こそ”皇帝”の走りを見せよう！	体力-30 スタミナ+6 スキルPt+38						
育成ウマ娘	シンボリルドルフ	星3	レース勝利！	ご褒美をあげよう	体力-15 賢さ+8 スキルPt+30	次も勝とうな！	体力-20 根性+5 スキルPt+30						
育成ウマ娘	シンボリルドルフ	星3	莫逆之友	選択肢なし	賢さ+5								
育成ウマ娘	シンボリルドルフ	星3	熟思黙想	選択肢なし	スピード+5								
育成ウマ娘	シンボリルドルフ	星3	不協和音	選択肢なし	スピード+5								
育成ウマ娘	シンボリルドルフ	星3	暗雲低迷	選択肢なし	根性+5								
育成ウマ娘	シンボリルドルフ	星3	嘔心瀝血	選択肢なし	賢さ+5								
育成ウマ娘	シンボリルドルフ	星3	凍解氷釈	選択肢なし	賢さ+5								
育成ウマ娘	シンボリルドルフ	星3	皇帝の苦戦	選択肢なし	体力-10 やる気ダウン								
育成ウマ娘	シンボリルドルフ	星3	皇帝の憂鬱	選択肢なし	やる気ダウン 根性-5								
育成ウマ娘	シンボリルドルフ	星3	皇帝の礎	選択肢なし	やる気アップ 5種ステータス+5 スキルPt+30 『切れ者』になる								
育成ウマ娘	シンボリルドルフ	星3	皇帝の飽食	選択肢なし	体力+10 スキルPt+5								
育成ウマ娘	シンボリルドルフ	星3	挑戦成功	選択肢なし	パワー+10								
育成ウマ娘	シンボリルドルフ	星3	シンボリルドルフ登場！	選択肢なし	スキルPt+120								
育成ウマ娘	シンボリルドルフ	星3	名指導	選択肢なし	賢さ+10								
育成ウマ娘	シンボリルドルフ	星3	保健室にて	選択肢なし	体力+20 『夜ふかし気味』が治る								
育成ウマ娘	シンボリルドルフ	星3	頭痛で憂鬱	選択肢なし	やる気ダウン 賢さ-5 『片頭痛』になる								
育成ウマ娘	シンボリルドルフ	星3	乙名史記者の悦楽取材	選択肢なし	体力-15 やる気アップ パワー+5 スキルPt+30 ファン+500 乙名史記者の絆ゲージ+15								
育成ウマ娘	シンボリルドルフ	星3	デビュー戦の後に	1位(進攻開始)	5種ステータスからランダムに3種を+3 スキルPt+30 秋川理事長の絆ゲージ+4	2位	5種ステータスからランダムに3種を+2 スキルPt+30 秋川理事長の絆ゲージ+4	3位以下(進攻開始)	5種ステータスからランダムに3種を+1 スキルPt+30 秋川理事長の絆ゲージ+4				
育成ウマ娘	シンボリルドルフ	星3	サウジアラビアRCの後に	1位	5種ステータスからランダムに4種を+3 スキルPt+30 秋川理事長の絆ゲージ+4	2位(鴻鵠之志)	5種ステータスからランダムに4種を+2 スキルPt+30 秋川理事長の絆ゲージ+4	3位以下(鴻鵠之志)	5種ステータスからランダムに4種を+1 スキルPt+30 秋川理事長の絆ゲージ+4				
育成ウマ娘	シンボリルドルフ	星3	皐月賞の後に	1位(一冠達成)	5種ステータスを+3 スキルPt+45 秋川理事長の絆ゲージ+4	2位(臥薪嘗胆)	5種ステータスを+2 スキルPt+45 秋川理事長の絆ゲージ+4	3位以下(臥薪嘗胆)	5種ステータスを+1 スキルPt+45 秋川理事長の絆ゲージ+4				
育成ウマ娘	シンボリルドルフ	星3	日本ダービーの後に	1位(抜山蓋世)	5種ステータスを+3 スキルPt+45 秋川理事長の絆ゲージ+4	2位	5種ステータスを+2 スキルPt+45 秋川理事長の絆ゲージ+4	3位以下(磨穿鉄硯)	5種ステータスを+1 スキルPt+45 秋川理事長の絆ゲージ+4				
育成ウマ娘	シンボリルドルフ	星3	菊花賞の後に	1位	5種ステータスを+3 スキルPt+45 秋川理事長の絆ゲージ+4	2位(聡明剛毅)	5種ステータスを+2 スキルPt+45 秋川理事長の絆ゲージ+4	3位以下(聡明剛毅)	5種ステータスを+1 スキルPt+45 秋川理事長の絆ゲージ+4				
育成ウマ娘	シンボリルドルフ	星3	有馬記念の後に	1位(皇帝君臨)	5種ステータスを+3 スキルPt+45 秋川理事長の絆ゲージ+4	2位	5種ステータスを+2 スキルPt+45 秋川理事長の絆ゲージ+4	3位以下(冥冥之志)	5種ステータスを+1 スキルPt+45 秋川理事長の絆ゲージ+4				
育成ウマ娘	シンボリルドルフ	星3	ジャパンCの後に	1位	5種ステータスを+3 スキルPt+45 秋川理事長の絆ゲージ+4	2位(外柔内剛)	5種ステータスを+2 スキルPt+45 秋川理事長の絆ゲージ+4	3位以下	5種ステータスを+1 スキルPt+45 秋川理事長の絆ゲージ+4				
育成ウマ娘	シンボリルドルフ	星3	天皇賞（春）の後に	1位	『根幹距離〇』のヒントLv+1 『臨機応変』のヒントLv+1								
育成ウマ娘	シンボリルドルフ	星3	あんし〜ん笹針師、参☆上	強いウマ娘になれる秘孔を狙う	成功時:5種ステータス+20<hr>失敗時:やる気ダウン 全ステータス-15 『夜ふかし気味』になる	レースで勝てる秘孔を狙う	成功時:『コーナー回復◯』取得 『直線回復』取得<hr>失敗時:体力-20 やる気ダウン	元気で健康になれる秘孔を狙う	体力の最大値+12 体力+40	魅力アップの秘孔を狙う	成功時:体力+20 やる気アップ 『愛嬌◯』になる	不安なのでやめておく	調査中
育成ウマ娘	シンボリルドルフ	星3	福引チャンス！	特賞(温泉旅行券)	体力+30 やる気アップ 5種ステータス+10	1等(特上にんじんハンバーグ)	体力+30 やる気アップ 5種ステータスを+10	2等(にんじん山盛り)	体力+20 やる気アップ 5種ステータスを+5	3等(にんじん1本)	体力+20	はずれ	やる気ダウン
育成ウマ娘	シンボリルドルフ	星3	バレンタイン	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	シンボリルドルフ	星3	ファンレター	選択肢なし	やる気アップ スキルPt+30								
育成ウマ娘	シンボリルドルフ	星3	クリスマス	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	シンボリルドルフ	星3	ファン感謝祭	選択肢なし	体力-5 スキルPt+25	選択肢なし	やる気アップ ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	シンボリルドルフ	星3	夏合宿（2年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	シンボリルドルフ	星3	夏合宿（3年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	シンボリルドルフ	星3	『月刊トゥインクル増刊号』	選択肢なし	スキルPt+5	選択肢なし	5種ステータス+3 スキルPt+10	選択肢なし	5種ステータス+5 スキルPt+20				
育成ウマ娘	ライスシャワー	星3	ライスにお任せ……！	コロッケを食べてみたいな	根性+10	人助けだと思って	スピード+10						
育成ウマ娘	ライスシャワー	星3	てんとう虫が離れても	不幸にした以上にライスが幸せにすればいい	スタミナ+10	それも思い出にしよう	賢さ+10						
育成ウマ娘	ライスシャワー	星3	雲が空を覆っても	強くなったな	スピード+5 パワー+5	願い事、したいもんな	根性+10						
育成ウマ娘	ライスシャワー	星3	わたしのたいよう	1番最初だなんて、光栄だな	根性+5 賢さ+5	幸せな気持ちになる絵本だった	調査中	俺は、この太陽みたいになりたいな	調査中				
育成ウマ娘	ライスシャワー	星3	夕焼けの1ページ	待てるよ	パワー+5 根性+5	俺も描こうかな	スタミナ+5 賢さ+5						
育成ウマ娘	ライスシャワー	星3	素敵な世界に会いたくて	歩いて他の店でも探してみようか	スタミナ+10	予約とかできたりしないかな？	スピード+5 賢さ+5						
育成ウマ娘	ライスシャワー	星3	参考にしたくて	できそうな範囲でチャレンジしよう！	体力-10 根性+20	ミホノブルボンの走り方をもっと観察しよう	体力+5 スキルPt+15						
育成ウマ娘	ライスシャワー	星3	甘くて真っ赤な1ページ	お腹を空かせてまた来よう	体力+10 スキルPt+5	デザートは別腹！	体力+30 スキルPt+10 ランダムで『太り気味』になる						
育成ウマ娘	ライスシャワー	星3	甘く賑やかな幸福	後でみんなで運動しよう！	スピード+10 スタミナt+10	私もたくさん食べるよ！	賢さ+20						
育成ウマ娘	ライスシャワー	星3	相応しい自分	立派だったぞ	根性+10 賢さ+10 ランダムで『愛嬌◯』になる	自分ではどう思う？	スタミナ+10 パワー+10 ランダムで『愛嬌◯』になる						
育成ウマ娘	ライスシャワー	星3	相応しくない自分	1人で抱えちゃダメだ	根性+20	それだけ勝負服を気に入ってくれたんだな	パワー+20						
育成ウマ娘	ライスシャワー	星3	何事も前向きに？	今から雨乞いするよ！	スタミナ+5 根性+10	逆にこの晴れを利用しよう	『良バ場◯』のヒントLv+1						
育成ウマ娘	ライスシャワー	星3	追加の自主トレ	少しだけトレーニングに付き合うよ	体力-5 直前のトレーニングに応じたステータス+5 秋川理事長の絆ゲージ+5	気持ちだけで嬉しいよ	体力+5						
育成ウマ娘	ライスシャワー	星3	新年の抱負	その調子！	根性+10	体も大事にしながらね	体力+20	しっかり学んでいこう！	スキルPt+20				
育成ウマ娘	ライスシャワー	星3	夏合宿（2年目）にて	パワーもりもりスタミナ丼！	パワー+10	ガッツで食べきれ！特大リンゴ飴	根性+10						
育成ウマ娘	ライスシャワー	星3	初詣	みんな元気になりますように	体力+30	ライスの走りを支え続けたい	5種ステータスを+5	力が欲しい……！	スキルPt+35				
育成ウマ娘	ライスシャワー	星3	ダンスレッスン	私がいると困らせちゃうかな？	スタミナ+10	迷惑どんとこい！	スピード+10						
育成ウマ娘	ライスシャワー	星3	レース入着	よく頑張ったね！	体力−20 賢さ+5 スキルPt+39	次は1着！	体力−10 賢さ+5 スキルPt+39						
育成ウマ娘	ライスシャワー	星3	レース勝利	誇らしいよ	体力−15 スピード+5 スキルPt+34	次も勝とうね！	体力+20 スタミナ+9 スタミナPt+39 ランダムで『京都レース場◯』のヒントLv+1						
育成ウマ娘	ライスシャワー	星3	ページの裏側	選択肢なし	やる気アップ 5種ステータスを+5 スキルPt+30								
育成ウマ娘	ライスシャワー	星3	万に一つもなかったこと	選択肢なし	根性+5								
育成ウマ娘	ライスシャワー	星3	折れないバラ	選択肢なし	スタミナ+10								
育成ウマ娘	ライスシャワー	星3	不幸スリップ	選択肢なし	やる気ダウン								
育成ウマ娘	ライスシャワー	星3	淀に咲く花	選択肢なし	スタミナ+5								
育成ウマ娘	ライスシャワー	星3	描き取りたい1ページ	選択肢なし	やる気ダウン パワー−5								
育成ウマ娘	ライスシャワー	星3	1人では咲けないから	選択肢なし	根性+5								
育成ウマ娘	ライスシャワー	星3	ライバルの不幸	選択肢なし	根性+5								
育成ウマ娘	ライスシャワー	星3	執念の1ページ	選択肢なし	体力−10 やる気ダウン								
育成ウマ娘	ライスシャワー	星3	ライスシャワー登場！	選択肢なし	スキルPt+120								
育成ウマ娘	ライスシャワー	星3	名指導	選択肢なし	根性+10 ランダムで『練習上手◯』になる								
育成ウマ娘	ライスシャワー	星3	武者震い	選択肢なし	パワー+5								
育成ウマ娘	ライスシャワー	星3	乙名史記者の悦楽取材	選択肢なし	体力−15 やる気アップ スタミナ+5 スキルPt+34 ファン+500人 乙名史記者の絆ゲージ+15								
育成ウマ娘	ライスシャワー	星3	デビュー戦の後に	1位(変われる1歩を)	5種ステータスからランダムに3種を+3 スキルPt+30 秋川理事長の絆ゲージ+4 ランダムで『道悪◯』のヒントLv+1	2位(変われる1歩を)	5種ステータスからランダムに3種を+2 スキルPt+30 秋川理事長の絆ゲージ+4	3位以下	5種ステータスからランダムに3種を+1 スキルPt+30 秋川理事長の絆ゲージ+4				
育成ウマ娘	ライスシャワー	星3	スプリングSの後に	1位	5種ステータスからランダムに4種を+3 スキルPt+34 秋川理事長の絆ゲージ+4	2位	5種ステータスからランダムに4種を+2 スキルPt+34 秋川理事長の絆ゲージ+4	3位以下	5種ステータスからランダムに4種を+1 スキルPt+34 秋川理事長の絆ゲージ+4				
育成ウマ娘	ライスシャワー	星3	日本ダービーの後に	1位	5種ステータスを+3 スキルPt+47 秋川理事長の絆ゲージ+4	2位	5種ステータスを+2 スキルPt+52 秋川理事長の絆ゲージ+4	3位以下	5種ステータスを+1 スキルPt+51 秋川理事長の絆ゲージ+4				
育成ウマ娘	ライスシャワー	星3	菊花賞の後に	1位	5種ステータスを+3 スキルPt+52 秋川理事長の絆ゲージ+4	2位	5種ステータスを+2 スキルPt+51 秋川理事長の絆ゲージ+4	3位以下	5種ステータスを+1 スキルPt+51 秋川理事長の絆ゲージ+4				
育成ウマ娘	ライスシャワー	星3	日経賞の後に	1位	5種ステータスからランダムに4種を+3 スキルPt+40 秋川理事長の絆ゲージ+4	2位	調査中	3位以下	5種ステータスからランダムに4種を+1 スキルPt+39 秋川理事長の絆ゲージ+4				
育成ウマ娘	ライスシャワー	星3	天王賞（春）の後に	1位	5種ステータスを+3 スキルPt+52 秋川理事長の絆ゲージ+4								
育成ウマ娘	ライスシャワー	星3	あんし〜ん笹針師、参☆上	強いウマ娘になれる秘孔を狙う	成功時:5種ステータス+20<hr>失敗時:やる気ダウン 全ステータス-15 『夜ふかし気味』になる	レースで勝てる秘孔を狙う	成功時:『コーナー回復◯』取得 『直線回復』取得<hr>失敗時:体力-20 やる気ダウン	元気で健康になれる秘孔を狙う	体力の最大値+12 体力+40	魅力アップの秘孔を狙う	成功時:体力+20 やる気アップ 『愛嬌◯』になる	不安なのでやめておく	調査中
育成ウマ娘	ライスシャワー	星3	福引チャンス！	特賞(温泉旅行券)	体力+30 やる気アップ 5種ステータス+10	1等(特上にんじんハンバーグ)	体力+30 やる気アップ 5種ステータスを+10	2等(にんじん山盛り)	体力+20 やる気アップ 5種ステータスを+5	3等(にんじん1本)	体力+20	はずれ	やる気ダウン
育成ウマ娘	ライスシャワー	星3	バレンタイン	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	ライスシャワー	星3	ファンレター	選択肢なし	やる気アップ スキルPt+30								
育成ウマ娘	ライスシャワー	星3	クリスマス	選択肢なし	スキルPt+20	選択肢なし	ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	ライスシャワー	星3	ファン感謝祭	選択肢なし	体力-5 スキルPt+25	選択肢なし	やる気アップ ランダムでウマ娘固有スキルLv+1						
育成ウマ娘	ライスシャワー	星3	夏合宿（2年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	ライスシャワー	星3	夏合宿（3年目）終了	選択肢なし	5種ステータスからランダムに3種を+5								
育成ウマ娘	ライスシャワー	星3	『月刊トゥインクル増刊号』	選択肢なし	スキルPt+5	選択肢なし	5種ステータス+3 スキルPt+10	選択肢なし	5種ステータス+5 スキルPt+20				
育成ウマ娘	ゴールドシップ	星2	いざ、真剣勝負！	いや、代わりに俺がやろう	体力+10	頑張れ……！	スキルPt+15 『なまけ癖』になる (ランダムでスキルPt+60 『非根幹距離〇』のヒントLv+1)						
育成ウマ娘	ゴールドシップ	星2	翌日揃ってしわがれ声	ドリンクで回復しよう！	スタミナ+10	あの鍛錬の日々を思い出せ！	根性+10						
育成ウマ娘	ゴールドシップ	星2	落としたものは？	鋼鉄製の食品サンプルです	体力-10 パワー+20	7G対応のメチャ速スマホです	スピード+10						
育成ウマ娘	ゴールドシップ	星2	ペア割常習犯	『うっちゃれ、えびすこ』	根性+10	『JAM・奇跡の弾倉』	スタミナ+10						
育成ウマ娘	ゴールドシップ	星2	えっアタシのバイト…やばすぎ？	肉体労働！	スタミナ+10 スキルPt+15	焼きそば調理！	『阪神レース場◯』のヒントLv+1						
育成ウマ娘	ゴールドシップ	星2	左にホクロはないらしい	見つかった方がその子のためだ	スタミナ+10	『木を隠すならば森の中』……！	スピード+10						
育成ウマ娘	ゴールドシップ	星2	約15億年前からコンニチハ	ケーッケッケ！全員食ってやる！	根性+10	フッ、再び未来の世界に逃げるのみ！	賢さ+10						
育成ウマ娘	ゴールドシップ	星2	ゴルシの！いきなり過去編！	そのスープを再現してみたら？	スタミナ+10 賢さ+10	その時の場所に行ってみたら？	調査中						
育成ウマ娘	ゴールドシップ	星2	主人公の赤！	赤にも色々あるってことだ	賢さ+20	自分の信念を貫くんだ！	調査中						
育成ウマ娘	ゴールドシップ	星2	食べすぎ御免！	オススメ1品だけで充分！	体力+10 スキルPt+5	合点！	体力+30 スキルPt+10						
育成ウマ娘	ゴールドシップ	星2	母は神より強し編	最高だった！	パワー+5								
育成ウマ娘	ゴールドシップ	星2	レース勝利！	最高だった！	体力-15 5種ステータスからランダムに1種を+5 スキルPt+30 『徹底マーク◯』獲得(ランダム)	さらに上を目指そう！	体力-5 スピード+8 スキルPt+36						
育成ウマ娘	ゴールドシップ	星2	追加の自主トレ	流行に後れるわけにはいかないな	体力-5 直前のトレーニングに応じたステータスを+5 秋川理事長の絆ゲージ+5	いや、今の流行はCD（クールダウン）だ！	体力+5						
育成ウマ娘	ゴールドシップ	星2	新年の抱負	長距離を走れる力を付けよう！	スタミナ+10	これから一緒に考えよう	体力+20	ドームツアーやろうぜ！	スキルPt+20				
育成ウマ娘	ゴールドシップ	星2	初詣	食べて魅力を再確認しよう	体力+30	調理テクを身につけよう	5種ステータスを+5	斬新なアレンジを考えよう	スキルPt+35				
育成ウマ娘	ゴールドシップ	星2	ダンスレッスン	もっと全力でやるべき	パワー+10	長時間キープしてみるべき	根性+10						
育成ウマ娘	ゴールドシップ	星2	夏合宿（2年目）にて	一緒にスイカ割りするとか	パワー+10	一緒に遠泳するとか	根性+10						
育成ウマ娘	ゴールドシップ	星2	夏合宿(3年目)終了	合宿中に割ったスイカの数	5種ステータスからランダムに3種を+5	合宿中に拾ったセミの抜け殻の数	5種ステータスからランダムに3種を+5						
育成ウマ娘	ゴールドシップ	星2	ちょっと寄りたいステキな場所	大人しく歩いて帰る	スタミナ+10	バスを乗り継いで帰ろうと説得する	5種ステータスからランダムに1種を+10						
育成ウマ娘	ゴールドシップ	星2	夜の公園で遊ぼう	ひと晩中見張る	根性+10	楽しい踊りを踊る	スピード+10						
育成ウマ娘	ゴールドシップ	星2	硬派な甘さ	食べたいから付き合ってくれる？	体力+10	ケバブにしようか	パワー+10						
育成ウマ娘	ゴールドシップ	星2	名指導	選択肢なし	スタミナ+10 ランダムで『練習上手◯』取得								
育成ウマ娘	ゴールドシップ	星2	ガチバトル編	選択肢なし	根性+5								
育成ウマ娘	ゴールドシップ	星2	気まぐれオトメのゴルシちゃん☆	選択肢なし	体力+20 やる気アップ 次ターン、ランダムに4つのトレーニングが行えなくなる								
育成ウマ娘	ゴールドシップ	星2	名探偵ゴルシ？	選択肢なし	5種ステータス+5 やる気アップ スキルPt+30								
育成ウマ娘	ゴールドシップ	星2	あんし～ん	選択肢なし	賢さ+5 やる気ダウン								
育成ウマ娘	ゴールドシップ	星2	目指せパリコレ編	選択肢なし	スタミナ+5								
